n,died,year,species_name,annual_mean_temp,tot_annual_pp,prior_mu
46,0,2001,Abies balsamifera,0.501333329081535,1467.93333333333,0.075259677903187
49,6,2006,Abies balsamifera,0.67599999209245,1418.46666666667,0.0870447990008203
45,9,2011,Abies balsamifera,0.992142842816455,1375,0.100592966315231
16,2,1980,Abies balsamifera,0.306000006198883,999.933333333333,0.0405810719516916
10,0,2000,Abies balsamifera,0.368666662275791,1498.73333333333,0.0730950685539042
18,2,2005,Abies balsamifera,0.577333332101504,1410.26666666667,0.0845538699622135
35,1,2010,Abies balsamifera,0.955999985833963,1394.86666666667,0.0977313180932363
5,0,2009,Abies balsamifera,0.131333335116506,1433.4,0.0949475757138162
49,7,2003,Abies balsamifera,0.501999991138776,1465.66666666667,0.079776298364389
51,7,2008,Abies balsamifera,0.79133332769076,1449.46666666667,0.0922398232971371
14,8,1980,Abies balsamifera,-3.43333331743876,975.466666666667,0.0405810719516916
3,2,1985,Abies balsamifera,4.11733326911926,1159.13333333333,0.0470468160654742
14,1,1980,Abies balsamifera,-0.534666659931342,982.933333333333,0.0405810719516916
21,2,2000,Abies balsamifera,0.368666662275791,1518.86666666667,0.0730950685539042
23,0,2005,Abies balsamifera,0.577333332101504,1431.4,0.0845538699622135
26,4,2010,Abies balsamifera,0.955999985833963,1417.13333333333,0.0977313180932363
21,4,1985,Abies balsamifera,3.13999999364217,1214.53333333333,0.0470468160654742
38,34,1980,Abies balsamifera,1.55933333039284,982.533333333333,0.0405810719516916
4,0,1994,Abies balsamifera,2.89733334382375,968.933333333333,0.0613204543891265
16,2,1980,Abies balsamifera,-0.044666676223278,973.266666666667,0.0405810719516916
1,0,2001,Abies balsamifera,0.501333329081535,1465,0.075259677903187
11,0,2006,Abies balsamifera,0.67599999209245,1418.8,0.0870447990008203
27,0,2011,Abies balsamifera,0.992142842816455,1377.92857142857,0.100592966315231
9,2,2001,Abies balsamifera,0.501333329081535,1486.86666666667,0.075259677903187
8,0,2006,Abies balsamifera,0.67599999209245,1440.86666666667,0.0870447990008203
10,10,1980,Abies balsamifera,1.45733331938585,976.266666666667,0.0405810719516916
35,0,2003,Abies balsamifera,0.501999991138776,1465.66666666667,0.079776298364389
43,1,2008,Abies balsamifera,0.79133332769076,1449.46666666667,0.0922398232971371
15,5,1980,Abies balsamifera,-1.80400001605352,937.2,0.0405810719516916
32,2,2001,Abies balsamifera,0.252000002563,1467.93333333333,0.075259677903187
33,0,2006,Abies balsamifera,0.429333335161209,1418.46666666667,0.0870447990008203
34,0,2011,Abies balsamifera,0.742857136896678,1375,0.100592966315231
8,0,2003,Abies balsamifera,3.02399996121724,1206.06666666667,0.079776298364389
78,6,2003,Abies balsamifera,0.501999991138776,1447.33333333333,0.079776298364389
40,8,1980,Abies balsamifera,-0.707333344221115,1055.86666666667,0.0405810719516916
28,4,1980,Abies balsamifera,-1.52866664628188,1125.2,0.0405810719516916
75,4,2003,Abies balsamifera,0.501999991138776,1464.13333333333,0.079776298364389
75,25,2008,Abies balsamifera,0.79133332769076,1450.73333333333,0.0922398232971371
28,0,2001,Abies balsamifera,-0.182666661341985,1484.33333333333,0.075259677903187
36,4,2006,Abies balsamifera,-0.00999999443689982,1441,0.0870447990008203
34,11,2011,Abies balsamifera,0.292857144427087,1401.92857142857,0.100592966315231
54,4,1980,Abies balsamifera,-0.732666668792566,997,0.0405810719516916
1,0,2001,Abies balsamifera,0.501333329081535,1467.93333333333,0.075259677903187
15,0,2006,Abies balsamifera,0.67599999209245,1418.46666666667,0.0870447990008203
22,0,2011,Abies balsamifera,0.992142842816455,1375,0.100592966315231
22,8,1980,Abies balsamifera,-1.01266665682197,998.466666666667,0.0405810719516916
21,2,1980,Abies balsamifera,-1.13399999178946,1085,0.0405810719516916
20,0,2002,Abies balsamifera,1.07199999988079,1454.93333333333,0.0774862090879015
30,2,2007,Abies balsamifera,1.29266666571299,1421.06666666667,0.0896061797636543
21,4,1980,Abies balsamifera,-0.230666663746039,965.866666666667,0.0405810719516916
1,0,2009,Abies balsamifera,0.576666667064031,1431.8,0.0949475757138162
25,10,1980,Abies balsamifera,-1.31133332649867,1109.46666666667,0.0405810719516916
32,28,1980,Abies balsamifera,1.54066666464011,975.133333333333,0.0405810719516916
32,12,1980,Abies balsamifera,-0.991333334768812,1003.4,0.0405810719516916
33,10,2002,Abies balsamifera,0.49799999097983,1474.66666666667,0.0774862090879015
26,6,2007,Abies balsamifera,0.731999992330869,1443.6,0.0896061797636543
4,2,1980,Abies balsamifera,-0.00799999435742696,969.533333333333,0.0405810719516916
8,2,1985,Abies balsamifera,1.81199999650319,1295.26666666667,0.0470468160654742
7,6,2003,Abies balsamifera,2.04666664600372,1297.46666666667,0.079776298364389
45,0,2004,Abies balsamifera,0.567999991774559,1452.93333333333,0.0821316167041284
53,12,2009,Abies balsamifera,0.825333328545094,1433.4,0.0949475757138162
2,0,2011,Abies balsamifera,0.992142842816455,1377.92857142857,0.100592966315231
14,0,2003,Abies balsamifera,1.07199999988079,1447.33333333333,0.079776298364389
19,2,2008,Abies balsamifera,1.35199999610583,1425.86666666667,0.0922398232971371
15,2,1980,Abies balsamifera,-2.18466666142146,967.2,0.0405810719516916
51,20,2000,Abies balsamifera,0.368666662275791,1515.93333333333,0.0730950685539042
33,4,2005,Abies balsamifera,0.577333332101504,1431.33333333333,0.0845538699622135
31,13,2010,Abies balsamifera,0.955999985833963,1419.06666666667,0.0977313180932363
7,0,2009,Abies balsamifera,0.825333328545094,1431.8,0.0949475757138162
19,6,1980,Abies balsamifera,0.352000006039937,992,0.0405810719516916
42,0,1995,Abies balsamifera,1.75600001017253,1129.13333333333,0.0631459809575955
2,0,2003,Abies balsamifera,3.09066667556763,1108.66666666667,0.079776298364389
46,42,1980,Abies balsamifera,0.64399999404947,1006.53333333333,0.0405810719516916
2,0,2005,Abies balsamifera,0.577333332101504,1410.26666666667,0.0845538699622135
30,0,2004,Abies balsamifera,0.567999991774559,1453.53333333333,0.0821316167041284
42,7,2009,Abies balsamifera,0.825333328545094,1431.8,0.0949475757138162
40,4,1980,Abies balsamifera,0.243333330750465,1008,0.0405810719516916
34,32,1980,Abies balsamifera,1.4879999756813,982.533333333333,0.0405810719516916
1,0,2003,Abies balsamifera,-0.183999993403753,1464.13333333333,0.079776298364389
30,0,2001,Abies balsamifera,0.501333329081535,1467.93333333333,0.075259677903187
34,0,2006,Abies balsamifera,0.67599999209245,1418.46666666667,0.0870447990008203
38,4,2011,Abies balsamifera,0.992142842816455,1375,0.100592966315231
12,0,2003,Abies balsamifera,0.501999991138776,1447.33333333333,0.079776298364389
13,4,2008,Abies balsamifera,0.79133332769076,1425.86666666667,0.0922398232971371
20,10,1980,Abies balsamifera,1.04066666675111,985.866666666667,0.0405810719516916
82,0,2000,Abies balsamifera,0.368666662275791,1515.93333333333,0.0730950685539042
